Ref. No.,Location,Name,First bud colour,First flower fully open,Peak bloom,First tepal drop,Last tepal drop,First green seen,Accession Number,Status in 2024,Comments
23,D9•,Magnolia campbellii,,,,,,,1982-0939.04,Excluded,
24,E9•,Magnolia sargentiana,,,,,,,1984-0042.03,Excluded,
25,E9•,Magnolia campbellii,,,,,,,1982-0941.02,Completed,
26,E9•,Magnolia campbellii,,,,,,,1982-0940.01,Excluded,
27,H3•,Magnolia campbellii,,2018-04-08,2018-04-29,2018-05-07,2018-05-09,2018-04-25,1982-0939.06,Open,6-10 Buds.
28,H3•,Magnolia campbellii,2018-04-10,,,,2018-05-09,2018-04-18,1983-0456.01,Open,"No data recorded for the column E, F, and G."
29,H3•,Magnolia campbellii (Alba Group) 'Ethel Hillier',2018-03-28,2018-04-18,,,2018-06-13,,1983-0457.01,Open,"No data recorded for the columns F, G, and I."
30,E9•,Magnolia campbellii,,,,,,,1982-0940.03,Excluded,
31,C2•,Magnolia campbellii (Alba Group) 'Ethel Hillier',,,,,,,1983-0457.03,Excluded,
32,C2•,Magnolia campbellii,,,,,,,1982-0944.05,Excluded,
33,C7•,Magnolia 'Barbara Cook',,,,,,,1982-0948.02,Excluded,
34,D2•,Magnolia sprengeri 'Claret Cup',2018-03-28,2018-04-15,2018-04-18,2018-04-08,2018-06-03,2018-04-15,1982-0953.01,Open,
35,D2•,Magnolia campbellii,,,,,,,1982-0940.04,Excluded,
36,D2•,Magnolia sargentiana,,,,,,,1982-1437.01,Completed,
37,D2•,Magnolia campbellii 'Landicla',,,,,,,1982-0943.03,Completed,
38,D2•,Magnolia sargentiana,2018-03-18,2018-03-28,2018-04-11,2018-04-08,2018-04-29,2018-04-08,1982-1437.04,Open,
39,CA•,Magnolia denudata 'Forrest's Pink',2018-03-18,2018-03-28,2018-04-15,2018-04-15,2018-06-27,2018-04-08,1982-0949.01,Open,
40,D2•,Magnolia biondii,,,,,,,1984-0566.01,Completed,
41,D6•,Magnolia sieboldii,,,,,,,1982-0929.02,Excluded,
42,CB•,Magnolia sieboldii,,,,,,,1974-1099.01,Excluded,
43,D7•,Magnolia campbellii,,,,,,,1982-0945.05,Excluded,
44,D6•,Magnolia campbellii,2018-03-28,2018-04-08,2018-04-25,2018-04-18,2018-05-23,2018-04-15,1974-1054.01,Open,
45,8•,Magnolia sieboldii,,,,,,,1982-0929.01,Excluded,"No record of M. sieboldii ever planted in D5, or moved."
46,C4•,Magnolia insignis,,,,,,,2011-0577.01,Excluded,
47,CB•,Magnolia stellata,,,,,,,1977-0115.02,Excluded,"One item in accession may have been from conserved number 04191-153-72, 1972-0218. Original planying indicated item planted in D4, but current accession number lists more than were originally planted from conserved number."
48,D4•,Magnolia stellata,,,,,,,1977-0115.03,Excluded,
49,K1•,Magnolia insignis,,,,,,,2013-0384.01,Excluded,
50,D5•,Magnolia campbellii,2018-03-28,2018-04-01,2018-04-08,2018-04-08,2018-05-07,2018-04-08,1978-0361.01,Open,
51,E5•,Magnolia sprengeri 'Claret Cup',,,,,,,1982-0953.02,Excluded,
52,E8•,Magnolia denudata,,,,,,,1980-0040.01,Completed,
53,H7•,Magnolia sprengeri 'Wakehurst',2018-04-04,2018-04-11,2018-04-18,2018-04-15,2018-05-09,2018-04-11,1982-0952.01,Open,
54,F6•,Magnolia 'Barbara Cook',2018-03-25,2018-03-28,2018-04-08,2018-04-08,2018-05-02,2018-04-08,1981-0280.01,Open,
55,F7•,Magnolia delavayi,,,,,,,1985-0275.03,Excluded,
56,FA•,Magnolia sieboldii,,,,,,,1981-0063.01,Excluded,
57,F3•,Magnolia insignis,,,,,,,2014-0214.01,Excluded,
58,FA•,Magnolia campbellii 'Landicla',,,,,,,1982-0943.01,Completed,
59,F5•,Magnolia campbellii,,,,,,,1983-0458.02,Excluded,
60,D9•,Magnolia campbellii,,,,,,,1982-0939.05,Excluded,
61,F4•,Magnolia campbellii 'Darjeeling',,,,,,,1984-0028.02,Completed,
62,J7•,Magnolia insignis,,,,,,,2014-0214.02,Excluded,
63,EB•,Magnolia dawsoniana 'Clarke',2018-03-28,2018-04-08,2018-04-11,2018-04-08,2018-05-13,2018-04-08,1979-0245.01,Open,
64,D7•,Magnolia campbellii 'Lanarth',,,,,,,1986-0337.02,Completed,
65,E5•,Magnolia sprengeri 'Diva',,,,,,,1980-0425.02,Excluded,
66,F2•,Magnolia sargentiana 'Chyverton Dark',2018-03-28,2018-04-08,2018-04-15,2018-04-11,2018-04-22,2018-04-25,1986-0225.01,Open,
67,E7•,Magnolia campbellii,2018-03-28,2018-04-04,2018-04-11,2018-04-08,2018-04-29,2018-04-11,1979-0244.01,Open,
68,BC•,Magnolia cylindrica,,,,,,,1981-0077.01,Excluded,
69,L6•,Magnolia insignis,,,,,,,2016-0236.01,Excluded,
70,C1•,Magnolia dawsoniana 'Chyverton Red',,,,,,,1978-0362.02,Excluded,
71,BC•,Magnolia zenii,2018-03-21,2018-04-18,,2018-04-22,2018-04-29,2018-04-15,1986-0146.01,Open,No data recorded for the column F.
72,E4•,Magnolia cylindrica,,,,,,,1981-0077.02,Excluded,
73,A2•,Magnolia cylindrica,2018-04-04,2018-04-11,2018-04-18,2018-04-15,2018-05-23,2018-04-11,1982-0947.01,Open,
74,A3•,Magnolia officinalis var. biloba,,,,,,,1982-0950.01,Completed,
75,G6•,Magnolia denudata 'Wada's Japanese Clone',2018-04-15,2018-04-22,2018-04-25,2018-04-29,2018-05-09,2018-04-08,1992-0414.01,Open,
76,G6•,Magnolia cylindrica,2018-04-11,2018-04-18,2018-04-29,2018-05-02,2018-05-09,2018-04-25,1992-0484.02,Open,
77,F5•,Magnolia campbellii,,,,,,,1982-0939.03,Completed,
78,A6•,Magnolia sprengeri 'Eric Savill',2018-03-14,2018-03-18,2018-04-01,2018-03-25,2018-05-02,2018-04-08,1989-0617.01,Open,
79,F7•,Magnolia cavaleriei var. platypetala,,,2018-05-02,2018-05-09,2018-05-23,,1996-0784.03,Open,"No data recorded for the columns D, E, and I."
80,G2•,Magnolia campbellii 'Betty Jessel',,,,,,,1990-0487.01,Completed,
81,A6•,Magnolia amoena,,,,,,,2001-0559.02,Completed,
82,B7•,Magnolia maudiae,2018-04-11,2018-04-11,2018-04-25,2018-04-29,2018-06-27,,2002-0460.01,Open,No data recorded for the column I.
83,E8•,Magnolia conifera,2018-04-29,2018-06-20,,2018-06-27,,,1998-0507.02,Open,"No data recorded for the columns F, H, and I."
84,A6•,Magnolia laevifolia,,,,,,,2012-0178.01,Open,
85,GB•,Magnolia chevalieri,,,,,,,2000-0487.05,Open,
86,C3•,Magnolia sapaensis,,,,,,,2000-0389.01,Open,
